% Nodes:             183799
0	0	0	4.6397e+18
0	0	0.002	4.3405e+18
0	0	0.004	4.0606e+18
0	0	0.006	3.7987e+18
0	0	0.008	3.5537e+18
0	0	0.01	3.3245e+18
0	0	0.012	3.1101e+18
0	0	0.014	2.9095e+18
0	0	0.016	2.7219e+18
0	0	0.018	2.5463e+18
0	0	0.02	2.3821e+18
0	0	0.022	2.2285e+18
0	0	0.024	2.0848e+18
0	0	0.026	1.9503e+18
0	0	0.028	1.8245e+18
0	0	0.03	1.7069e+18
0	0	0.032	1.5968e+18
0	0	0.034	1.4938e+18
0	0	0.036	1.3975e+18
0	0	0.038	1.3073e+18
0	0	0.04	1.223e+18
0	0	0.042	1.1441e+18
0	0	0.044	1.0704e+18
0	0	0.046	1.0013e+18
0	0	0.048	9.3675e+17
0	0	0.05	8.7633e+17
0	0	0.052	8.1982e+17
0	0	0.054	7.6694e+17
0	0	0.056	7.1748e+17
0	0	0.058	6.7121e+17
0	0	0.06	6.2792e+17
0	0.002	0	4.6333e+18
0	0.002	0.002	4.3345e+18
0	0.002	0.004	4.055e+18
0	0.002	0.006	3.7934e+18
0	0.002	0.008	3.5488e+18
0	0.002	0.01	3.3199e+18
0	0.002	0.012	3.1058e+18
0	0.002	0.014	2.9055e+18
0	0.002	0.016	2.7181e+18
0	0.002	0.018	2.5428e+18
0	0.002	0.02	2.3788e+18
0	0.002	0.022	2.2254e+18
0	0.002	0.024	2.0819e+18
0	0.002	0.026	1.9476e+18
0	0.002	0.028	1.822e+18
0	0.002	0.03	1.7045e+18
0	0.002	0.032	1.5946e+18
0	0.002	0.034	1.4917e+18
0	0.002	0.036	1.3955e+18
0	0.002	0.038	1.3055e+18
0	0.002	0.04	1.2213e+18
0	0.002	0.042	1.1426e+18
0	0.002	0.044	1.0689e+18
0	0.002	0.046	9.9994e+17
0	0.002	0.048	9.3545e+17
0	0.002	0.05	8.7512e+17
0	0.002	0.052	8.1868e+17
0	0.002	0.054	7.6588e+17
0	0.002	0.056	7.1649e+17
0	0.002	0.058	6.7028e+17
