# Result analyzer ver. 1.0.5
# Input file : si222_50_01.result
# Phonon lifetime at temperature 300 K.
# kpoint range 1 3107
# mode   range 1 6
#  ik,  is, Frequency [cm^{-1}], Lifetime [ps], |Velocity| [m/s], MFP [nm], Multiplicity, Thermal conductivity par mode (xx, xy, ...) [W/mK]
    6    3        92.1696        116.359        8549.14         994.77    8      0.0076948    7.89592e-15    7.89592e-15    7.89592e-15      0.0076948    7.89623e-15    7.89592e-15    7.89623e-15      0.0076948
    6    4         502.12        1.80829        1352.38        2.44549    8    1.91647e-06    7.85941e-19    7.85941e-19    7.85941e-19    1.91647e-06    7.85787e-19    7.85941e-19    7.86095e-19    1.91647e-06
    6    5        505.699        1.57531        695.257        1.09525    8    4.38541e-07    1.96615e-14    1.96615e-14    1.96615e-14    4.38541e-07    1.96615e-14    1.96615e-14    1.96615e-14    4.38541e-07
    6    6        505.699        1.57531        695.256        1.09525    8    4.38416e-07    1.96615e-14    1.96615e-14    1.96615e-14    4.38416e-07    1.96615e-14    1.96615e-14    1.96615e-14    4.38416e-07
    7    1        52.9061        344.816         3703.8        1277.13    8      0.0043251    1.50222e-09    1.50222e-09    1.50222e-09      0.0043251    1.50222e-09    1.50222e-09    1.50222e-09      0.0043251
    7    2        52.9061        344.816         3703.8        1277.13    8      0.0043285    1.50222e-09    1.50222e-09    1.50222e-09      0.0043285    1.50222e-09    1.50222e-09    1.50222e-09      0.0043285
    7    3        110.284        81.4996        8474.68        690.684    8     0.00525914              0              0              0     0.00525914   -1.57635e-19              0   -1.57635e-19     0.00525914
    7    4        499.016        1.88385        1560.54        2.93982    8    2.67301e-06              0              0              0    2.67301e-06      7.697e-23              0      7.697e-23    2.67301e-06
    7    5         504.12        1.57999        785.268        1.24072    8    5.62643e-07    9.20741e-15    9.20741e-15    9.20741e-15    5.62643e-07    9.20741e-15    9.20741e-15    9.20741e-15    5.62643e-07
    7    6         504.12        1.57999        785.267        1.24072    8    5.62546e-07    9.20741e-15    9.20741e-15    9.20741e-15    5.62546e-07    9.20741e-15    9.20741e-15    9.20741e-15    5.62546e-07
    8    1        60.5446        253.895        3470.48        881.139    8     0.00279138    1.06951e-09    1.06951e-09    1.06951e-09     0.00279138    1.06951e-09    1.06951e-09    1.06951e-09     0.00279138
    8    2        60.5446        253.895        3470.49         881.14    8     0.00279369    1.06951e-09    1.06951e-09    1.06951e-09     0.00279369    1.06951e-09    1.06951e-09    1.06951e-09     0.00279369
    8    3        128.226        40.5243        8387.07         339.88    8     0.00254042              0              0              0     0.00254042    7.88173e-20              0    7.88173e-20     0.00254042
    8    4          495.5        1.97579        1739.98        3.43785    8    3.50675e-06              0              0              0    3.50675e-06     1.5394e-22              0     1.5394e-22    3.50675e-06
    8    5        502.375        1.56559        850.376        1.33134    8    6.55778e-07    1.91044e-15    1.91044e-15    1.91044e-15    6.55778e-07    1.91044e-15    1.91044e-15    1.91044e-15    6.55778e-07
    8    6        502.375        1.56559        850.375        1.33134    8     6.5573e-07    1.91044e-15    1.91044e-15    1.91044e-15     6.5573e-07    1.91044e-15    1.91044e-15    1.91044e-15     6.5573e-07
