1878.09540000000	4.71652390000000e-05	0.00221397845824893	1.08392709760830e-15	2.53463858194788e-09
1877.97700000000	1.70418300000000e-06	0.142212280121160	1.92694621605403e-12	1.62809502811045e-07
1877.72940000000	2.83722920000000e-07	1.33503120491672	1.08653999783489e-10	1.52838957735957e-06
1877.29210000000	8.29666000000000e-08	6.17794354171898	1.71944925894876e-09	7.07272195878612e-06
1876.57450000000	3.26120890000000e-08	19.7105822931429	1.39562762640291e-08	2.25653516034534e-05
1875.45380000000	1.53952790000000e-08	49.9294611127397	7.48890009695950e-08	5.71609619961294e-05
1873.77200000000	8.23523080000000e-09	108.006339362843	3.02846245412698e-07	0.000123649366968338
1871.33350000000	4.82499510000000e-09	208.190772380426	9.96353204382571e-07	0.000238343946895632
1867.90350000000	3.03031640000000e-09	367.409754053685	2.79969955148688e-06	0.000420623305768292
1863.20750000000	2.01062880000000e-09	604.607652345230	6.94369222381700e-06	0.000692175606707212
1856.93250000000	1.39497100000000e-09	939.893781511990	1.55583063676701e-05	0.00107602268336313
1848.72880000000	1.00442660000000e-09	1393.57996500051	3.20377796900820e-05	0.00159541820886259
1838.21450000000	7.46320600000000e-10	1985.19336065018	6.14223045373700e-05	0.00227271754419436
1824.98050000000	5.69748760000000e-10	2732.54668375356	0.000110747243074972	0.00312831329763407
1808.59730000000	4.45342240000000e-10	3650.92970366972	0.000189303351891881	0.00417970972229774
1788.62170000000	3.55433830000000e-10	4752.46774901419	0.000308751544729302	0.00544078831084994
1764.60520000000	2.89006140000000e-10	6045.67243886693	0.000483043525614254	0.00692129345715980
1736.10140000000	2.38970080000000e-10	7535.18686164099	0.000728113728658898	0.00862654072831751
1702.67430000000	2.00636990000000e-10	9221.71678536666	0.00106132769817976	0.0105573381118050
1663.90530000000	1.70829410000000e-10	11102.1152834143	0.00150069285168961	0.0127100828979300
1619.40060000000	1.47346880000000e-10	13169.5930667465	0.00206385952245064	0.0150770024754125
1568.79680000000	1.28635730000000e-10	15414.0281517974	0.00276696238022868	0.0176465088498091
1511.76710000000	1.13579740000000e-10	17822.3186821462	0.00362336476670911	0.0204036025658833
1448.02530000000	1.01364410000000e-10	20378.7704986908	0.00464238552729758	0.0233303164112518
1377.33020000000	9.13870950000000e-11	23065.4684496198	0.00582808838286242	0.0264061405047937
1299.48900000000	8.31963410000000e-11	25862.6085768387	0.00717822096132793	0.0296084025950812
1214.36010000000	7.64503490000000e-11	28748.7577289233	0.00868337051971707	0.0329125652742048
1121.85590000000	7.08879950000000e-11	31700.9372337467	0.0103263806862911	0.0362923217690713
1021.94620000000	6.63083820000000e-11	34694.4516931760	0.0120820414041818	0.0397193999396915
914.662510000000	6.25562390000000e-11	37702.1064016909	0.0139169384538431	0.0431626663531364
800.107170000000	5.95113850000000e-11	40692.0137599639	0.0157891171522467	0.0465856149904607
678.472270000000	5.70810800000000e-11	43621.5079585681	0.0176464445270993	0.0499394005676011
550.089620000000	5.51944500000000e-11	46418.2573478389	0.0194196833426485	0.0531412153276650
415.587190000000	5.37984370000000e-11	48907.8367673922	0.0209921788494821	0.0559913713561089
276.547590000000	5.28548830000000e-11	50417.0452677063	0.0220262719100272	0.0577191650836618
140.270180000000	5.23383590000000e-11	45583.5179146369	0.0201111293454041	0.0521855769539563
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
1	1	1	0	0
4252.83230000000	9.71922260000000e-05	3.22355949435336e-05	7.65866164701258e-18	3.69044162789851e-11
4251.37290000000	3.50368080000000e-06	0.00208136273768492	1.37174050907739e-14	2.38281555012840e-09
4248.75480000000	5.80900880000000e-07	0.0197214084399121	7.83943232499205e-13	2.25777457481176e-08
4244.99030000000	1.68853890000000e-07	0.0924907867024922	1.26484155473841e-11	1.05886629374101e-07
4240.09780000000	6.58549200000000e-08	0.300268773408607	1.05286009477462e-10	3.43758005051939e-07
4234.10070000000	3.07894170000000e-08	0.777032605748925	5.82755658970534e-10	8.89573615598964e-07
4227.02780000000	1.62815900000000e-08	1.72375894656350	2.44471614779368e-09	1.97341844752784e-06
4218.91230000000	9.41298750000000e-09	3.42022636539128	8.39027297379824e-09	3.91559261672879e-06
4209.79190000000	5.82276290000000e-09	6.23546620147325	2.47279745695810e-08	7.13857587538870e-06
4199.70790000000	3.79823160000000e-09	10.6366020154348	6.46651350967527e-08	1.21771473198834e-05
4188.70500000000	2.58592600000000e-09	17.1958182058734	1.53551998937821e-07	1.96863633023967e-05
4176.83060000000	1.82371100000000e-09	26.5951893993442	3.36740840847452e-07	3.04470862824492e-05
4164.13420000000	1.32472440000000e-09	39.6291215761539	6.90776623609327e-07	4.53687795115526e-05
4150.66680000000	9.86751760000000e-10	57.2041587615573	1.33865423325608e-06	6.54892857266512e-05
4136.48030000000	7.51083570000000e-10	80.3359467692218	2.46984885239087e-06	9.19713511393552e-05
4121.62670000000	5.82569860000000e-10	110.143154405637	4.36574354110991e-06	0.000126095666221962
4106.15740000000	4.59401060000000e-10	147.838269528945	7.43093734649815e-06	0.000169250328719478
4090.12250000000	3.67617980000000e-10	194.715099736073	1.22307083205370e-05	0.000222916534006940
4073.57030000000	2.98038950000000e-10	252.133110299335	1.95346474929509e-05	0.000288650644621295
4056.54630000000	2.44477050000000e-10	321.498522863821	3.03661412264182e-05	0.000368062551400973
4039.09300000000	2.02672530000000e-10	404.242425491962	4.60570082921083e-05	0.000462790613113055
4021.24890000000	1.69635270000000e-10	501.796218862743	6.83061727629033e-05	0.000574473546418791
